Card ID,Card Name,Expansion,Collection Number,Category,Pokemon Stage,Previous Stage,HP,Energy Type,Trainer Type,Rule,Weakness,Resistance,Retreat Cost,Move 1 Name,Move 1 Energy Cost,Move 1 Damage,Move 1 Effect,Move 2 Name,Move 2 Energy Cost,Move 2 Damage,Move 2 Effect,Ability Name,Ability Effect,Explanation / Synergy Tag
PKMN-10011,Grovyle,Obsidian Flames,003/198,Pokemon,Stage 1,Treecko,90,Grass,,,Fire x2,None,1,Spore Burst,2 G,70,,Giga Drain,3 G,100,,,,Stage 1 pivot & engine bridge for Grovyle lineup.
PKMN-10012,Sceptile,Obsidian Flames,068/198,Pokemon,Stage 2,Grovyle,180,Grass,,,Fire x2,None,2,Vine Whip,2 G 1 C,120,,Spore Burst,,180,,,,Stage 2 heavy attacker / archetype anchor Sceptile.
PKMN-10013,Sceptile ex,Obsidian Flames,001/198,Pokemon,Stage 2,Grovyle,320,Grass,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,1,Seed Bomb,2 G,220,,Seed Bomb,,,,,,Meta tier-1 rule-box flagship Sceptile ex.
PKMN-10014,Rowlet,Paldea Evolved,021/198,Pokemon,Basic,,50,Grass,,,Fire x2,None,1,Energy Ball,1 G,30,,Petal Dance,,,,Rowlet's Intuition,,Standard basic Grass starter for Rowlet evolution tree.
PKMN-10015,Dartrix,Paldea Evolved,141/198,Pokemon,Stage 1,Rowlet,100,Grass,,,Fire x2,None,1,Giga Drain,2 G,80,,,,,,,,Stage 1 pivot & engine bridge for Dartrix lineup.
PKMN-10016,Decidueye,Paldea Evolved,103/198,Pokemon,Stage 2,Dartrix,160,Grass,,,Fire x2,None,2,Flora Heal,2 G 1 C,180,This attack does 30 damage to each of your opponent's Benched Pokemon.,Seed Bomb,3 G,,,,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Decidueye.
PKMN-10017,Decidueye ex,Paldea Evolved,016/198,Pokemon,Stage 2,Dartrix,230,Grass,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,1,Solar Beam,2 G,160,,,3 G,300,,,,Meta tier-1 rule-box flagship Decidueye ex.
PKMN-10018,Tarountula,Evolving Skies,148/198,Pokemon,Basic,,80,Grass,,,Fire x2,None,1,Vine Whip,1 G,10,,,2 G,40,,,,Standard basic Grass starter for Tarountula evolution tree.
PKMN-10019,Spidops,Evolving Skies,187/198,Pokemon,Stage 1,Tarountula,90,Grass,,,Fire x2,None,1,Solar Beam,2 G,50,,Solar Beam,3 G,90,,Inconspicuous,,Stage 1 pivot & engine bridge for Spidops lineup.
PKMN-10020,Spidops ex,Evolving Skies,119/198,Pokemon,Stage 1,Tarountula,230,Darkness,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,1,Flora Heal,2 G,240,,Spore Burst,,,,,,Meta tier-1 rule-box flagship Spidops ex.
PKMN-10021,Capsakid,Twilight Masquerade,125/198,Pokemon,Basic,,80,Grass,,,Fire x2,None,1,Vine Whip,1 G,10,,,2 G,40,,,,Standard basic Grass starter for Capsakid evolution tree.
PKMN-10022,Scovillain,Twilight Masquerade,117/198,Pokemon,Stage 1,Capsakid,110,Grass,,,Fire x2,None,1,Forest Blast,2 G,80,Discard an Energy from this Pokemon to deal 30 more damage.,Leaf Blade,,,,,,Stage 1 pivot & engine bridge for Scovillain lineup.
PKMN-10023,Scovillain ex,Twilight Masquerade,150/198,Pokemon,Stage 1,Capsakid,310,Metal,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,1,Spore Burst,2 G,180,,Spore Burst,3 G,300,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Scovillain ex.
PKMN-10024,Toedscool,Twilight Masquerade,146/198,Pokemon,Basic,,60,Grass,,,Fire x2,None,2,Forest Blast,1 G,30,,,2 G,50,,,,Standard basic Grass starter for Toedscool evolution tree.
PKMN-10025,Toedscruel,Twilight Masquerade,172/198,Pokemon,Stage 1,Toedscool,110,Grass,,,Fire x2,None,2,Energy Ball,2 G,70,,,3 G,80,,Inconspicuous,,Stage 1 pivot & engine bridge for Toedscruel lineup.
PKMN-10026,Toedscruel ex,Twilight Masquerade,145/198,Pokemon,Stage 1,Toedscool,220,Grass,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,2,Solar Beam,2 G,240,,Giga Drain,3 G,220,,,,Meta tier-1 rule-box flagship Toedscruel ex.
PKMN-10027,Teal Mask Ogerpon,Sword & Shield Base,113/198,Pokemon,Basic,,90,Grass,,,Fire x2,None,1,Giga Drain,1 G,30,,,,50,,,,Standard basic Grass starter for Teal Mask Ogerpon evolution tree.
PKMN-10028,Ogerpon ex,Sword & Shield Base,035/198,Pokemon,Basic,,280,Grass,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,1,Solar Beam,2 G,160,,,3 G,220,,,,Meta tier-1 rule-box flagship Ogerpon ex.
PKMN-10029,Rillaboom,Temporal Forces,126/198,Pokemon,Basic,,70,Grass,,,Fire x2,None,2,Giga Drain,1 G,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Spore Burst,2 G,30,,,,Standard basic Grass starter for Rillaboom evolution tree.
PKMN-10030,Thwackey,Temporal Forces,190/198,Pokemon,Stage 1,Rillaboom,120,Grass,,,Fire x2,None,2,Spore Burst,2 G,80,,Vine Whip,,,,,,Stage 1 pivot & engine bridge for Thwackey lineup.
PKMN-10031,Grookey,Temporal Forces,038/198,Pokemon,Stage 2,Thwackey,170,Grass,,,Fire x2,None,3,Vine Whip,2 G 1 C,120,,,,,,,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Grookey.
PKMN-10032,Rillaboom VMAX,Temporal Forces,064/198,Pokemon,Stage 2,Thwackey,330,Grass,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,None,2,Solar Beam,2 G,200,,,,300,,,,Meta tier-1 rule-box flagship Rillaboom VMAX.
PKMN-10033,Leafeon,Twilight Masquerade,106/198,Pokemon,Basic,,50,Grass,,,Fire x2,None,1,Vine Whip,1 G,10,,Vine Whip,,,,,,Standard basic Grass starter for Leafeon evolution tree.
PKMN-10034,Leafeon VSTAR,Twilight Masquerade,069/198,Pokemon,Basic,,230,Grass,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,None,1,Solar Beam,2 G,220,,,,260,,,,Meta tier-1 rule-box flagship Leafeon VSTAR.
PKMN-10035,Yanma,Twilight Masquerade,169/198,Pokemon,Basic,,60,Grass,,,Lightning x2,Fighting -30,1,Energy Ball,1 G,20,,,,50,,,,Standard basic Grass starter for Yanma evolution tree.
PKMN-10036,Yanmega,Twilight Masquerade,138/198,Pokemon,Stage 1,Yanma,110,Grass,,,Lightning x2,Fighting -30,1,Leaf Blade,2 G,50,,Petal Dance,,80,,,,Stage 1 pivot & engine bridge for Yanmega lineup.
PKMN-10037,Heracross,Sword & Shield Base,156/198,Pokemon,Basic,,90,Grass,,,Fire x2,None,2,Seed Bomb,1 G,10,,Forest Blast,2 G,,,Heracross's Intuition,,Standard basic Grass starter for Heracross evolution tree.
PKMN-10038,Roselia,Evolving Skies,111/198,Pokemon,Basic,,50,Grass,,,Fire x2,None,1,Energy Ball,1 G,30,,,,40,,,,Standard basic Grass starter for Roselia evolution tree.
PKMN-10039,Roserade,Evolving Skies,084/198,Pokemon,Stage 1,Roselia,120,Grass,,,Fire x2,None,1,Giga Drain,2 G,60,Discard an Energy from this Pokemon to deal 30 more damage.,,3 G,,,Inconspicuous,,Stage 1 pivot & engine bridge for Roserade lineup.
PKMN-10040,Snivy,Fusion Strike,141/198,Pokemon,Basic,,50,Grass,,,Fire x2,None,1,Giga Drain,1 G,20,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Forest Blast,2 G,,,,,Standard basic Grass starter for Snivy evolution tree.
PKMN-10041,Servine,Fusion Strike,055/198,Pokemon,Stage 1,Snivy,130,Grass,,,Fire x2,None,1,Flora Heal,2 G,60,,Petal Dance,3 G,,,,,Stage 1 pivot & engine bridge for Servine lineup.
PKMN-10042,Serperior,Fusion Strike,173/198,Pokemon,Stage 2,Servine,160,Grass,,,Fire x2,None,2,Energy Ball,2 G 1 C,140,This attack does 30 damage to each of your opponent's Benched Pokemon.,Flora Heal,,,,,,Stage 2 heavy attacker / archetype anchor Serperior.
PKMN-10043,Serperior VSTAR,Fusion Strike,148/198,Pokemon,Stage 2,Servine,230,Grass,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,None,1,Forest Blast,2 G,220,,Vine Whip,,220,,,,Meta tier-1 rule-box flagship Serperior VSTAR.
PKMN-10044,Cottonee,Twilight Masquerade,119/198,Pokemon,Basic,,50,Grass,,,Fire x2,None,1,Vine Whip,1 G,30,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,2 G,,,,,Standard basic Grass starter for Cottonee evolution tree.
PKMN-10045,Whimsicott,Twilight Masquerade,153/198,Pokemon,Stage 1,Cottonee,110,Grass,,,Fire x2,None,1,Flora Heal,2 G,80,,,,,,,,Stage 1 pivot & engine bridge for Whimsicott lineup.
PKMN-10046,Whimsicott VSTAR,Twilight Masquerade,067/198,Pokemon,Stage 1,Cottonee,230,Grass,,VSTAR Rule: Opponent takes 2 Prizes.,Fire x2,None,1,Giga Drain,2 G,240,,Energy Ball,3 G,260,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Whimsicott VSTAR.
PKMN-10047,Foongus,Surging Sparks,021/198,Pokemon,Basic,,60,Grass,,,Fire x2,None,2,Seed Bomb,1 G,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,40,,,,Standard basic Grass starter for Foongus evolution tree.
PKMN-10048,Amoonguss,Surging Sparks,016/198,Pokemon,Stage 1,Foongus,100,Grass,,,Fire x2,None,2,Forest Blast,2 G,80,,,,,,,,Stage 1 pivot & engine bridge for Amoonguss lineup.
PKMN-10049,Charmander,Rebel Clash,091/198,Pokemon,Basic,,70,Fire,,,Water x2,None,2,Burning Roar,1 F,20,,,2 F,,,,,Standard basic Fire starter for Charmander evolution tree.
PKMN-10050,Charmeleon,Rebel Clash,057/198,Pokemon,Stage 1,Charmander,120,Fire,,,Water x2,None,2,Heat Wave,2 F,70,,Ember,,,,,,Stage 1 pivot & engine bridge for Charmeleon lineup.
PKMN-10051,Charizard,Rebel Clash,120/198,Pokemon,Stage 2,Charmeleon,150,Fire,,,Water x2,None,3,Lava Plume,2 F 1 C,120,,,,220,,Supercharged Breaker,,Stage 2 heavy attacker / archetype anchor Charizard.
PKMN-10052,Charizard ex,Rebel Clash,098/198,Pokemon,Stage 2,Charmeleon,280,Fairy,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,2,Infernal Reign,2 F,220,This attack does 30 more damage for each Prize card your opponent has taken.,Flare Strike,3 F,,,,,Meta tier-1 rule-box flagship Charizard ex.
PKMN-10053,Vulpix,Obsidian Flames,192/198,Pokemon,Basic,,90,Fire,,,Water x2,None,1,Burning Roar,1 F,10,,Flamethrower,,,,,,Standard basic Fire starter for Vulpix evolution tree.
PKMN-10054,Ninetales,Obsidian Flames,064/198,Pokemon,Stage 1,Vulpix,100,Fire,,,Water x2,None,1,Flamethrower,2 F,60,Discard an Energy from this Pokemon to deal 30 more damage.,Fire Blast,,100,,,,Stage 1 pivot & engine bridge for Ninetales lineup.
PKMN-10055,Ninetales ex,Obsidian Flames,156/198,Pokemon,Stage 1,Vulpix,320,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,1,Fire Blast,2 F,180,,,3 F,260,,,,Meta tier-1 rule-box flagship Ninetales ex.
PKMN-10056,Growlithe,Rebel Clash,020/198,Pokemon,Basic,,90,Fire,,,Water x2,None,2,Flare Strike,1 F,30,,Heat Wave,,50,,,"Once during your turn, you may draw 1 card.",Standard basic Fire starter for Growlithe evolution tree.
PKMN-10057,Arcanine,Rebel Clash,145/198,Pokemon,Stage 1,Growlithe,90,Fire,,,Water x2,None,2,Ember,2 F,80,,Ember,3 F,90,,Inconspicuous,,Stage 1 pivot & engine bridge for Arcanine lineup.
PKMN-10058,Arcanine ex,Rebel Clash,163/198,Pokemon,Stage 1,Growlithe,310,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,2,Flame Charge,2 F,220,,Combustion,,300,,,,Meta tier-1 rule-box flagship Arcanine ex.
PKMN-10059,Ponyta,Vivid Voltage,069/198,Pokemon,Basic,,70,Fire,,,Water x2,None,1,Flare Strike,1 F,10,,Lava Plume,,40,,,,Standard basic Fire starter for Ponyta evolution tree.
PKMN-10060,Rapidash,Vivid Voltage,087/198,Pokemon,Stage 1,Ponyta,90,Fire,,,Water x2,None,1,Burning Roar,2 F,70,Discard an Energy from this Pokemon to deal 30 more damage.,Inferno Overdrive,3 F,,,,,Stage 1 pivot & engine bridge for Rapidash lineup.
PKMN-10061,Cyndaquil,Shrouded Fable,133/198,Pokemon,Basic,,60,Fire,,,Water x2,None,1,Combustion,1 F,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Flamethrower,2 F,40,,,,Standard basic Fire starter for Cyndaquil evolution tree.
PKMN-10062,Quilava,Shrouded Fable,005/198,Pokemon,Stage 1,Cyndaquil,90,Fire,,,Water x2,None,1,Inferno Overdrive,2 F,60,,Lava Plume,3 F,,,,,Stage 1 pivot & engine bridge for Quilava lineup.
PKMN-10063,Typhlosion,Shrouded Fable,191/198,Pokemon,Stage 2,Quilava,180,Fire,,,Water x2,None,2,Ember,2 F 1 C,160,,Inferno Overdrive,3 F,,,,,Stage 2 heavy attacker / archetype anchor Typhlosion.
PKMN-10064,Typhlosion ex,Shrouded Fable,177/198,Pokemon,Stage 2,Quilava,230,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,1,Heat Wave,2 F,180,,,3 F,,,,,Meta tier-1 rule-box flagship Typhlosion ex.
PKMN-10065,Torchic,Brilliant Stars,050/198,Pokemon,Basic,,70,Fire,,,Water x2,None,2,Inferno Overdrive,1 F,10,,Fire Blast,,30,,,,Standard basic Fire starter for Torchic evolution tree.
PKMN-10066,Combusken,Brilliant Stars,179/198,Pokemon,Stage 1,Torchic,100,Fire,,,Water x2,None,2,Burning Roar,2 F,50,,,3 F,80,,,,Stage 1 pivot & engine bridge for Combusken lineup.
PKMN-10067,Blaziken,Brilliant Stars,065/198,Pokemon,Stage 2,Combusken,170,Fire,,,Water x2,None,3,Fire Blast,2 F 1 C,120,,Flamethrower,3 F,,,,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Blaziken.
PKMN-10068,Blaziken VMAX,Brilliant Stars,064/198,Pokemon,Stage 2,Combusken,220,Fire,,VSTAR Rule: Opponent takes 2 Prizes.,Water x2,None,2,Combustion,2 F,220,,,,300,,,,Meta tier-1 rule-box flagship Blaziken VMAX.
PKMN-10069,Chimchar,Vivid Voltage,110/198,Pokemon,Basic,,70,Fire,,,Water x2,None,1,Inferno Overdrive,1 F,30,,,,,,Chimchar's Intuition,"Once during your turn, you may draw 1 card.",Standard basic Fire starter for Chimchar evolution tree.
PKMN-10070,Monferno,Vivid Voltage,170/198,Pokemon,Stage 1,Chimchar,90,Fire,,,Water x2,None,1,Flame Charge,2 F,60,Discard an Energy from this Pokemon to deal 30 more damage.,Flamethrower,3 F,,,,,Stage 1 pivot & engine bridge for Monferno lineup.
PKMN-10071,Infernape,Vivid Voltage,009/198,Pokemon,Stage 2,Monferno,150,Fire,,,Water x2,None,2,Inferno Overdrive,2 F 1 C,160,,,,,,,,Stage 2 heavy attacker / archetype anchor Infernape.
PKMN-10072,Infernape ex,Vivid Voltage,051/198,Pokemon,Stage 2,Monferno,310,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,1,Fire Blast,2 F,240,,Flame Charge,,,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Infernape ex.
PKMN-10073,Tepig,Paldean Fates,192/198,Pokemon,Basic,,90,Fire,,,Water x2,None,3,Inferno Overdrive,1 F,20,,Lava Plume,2 F,40,,,,Standard basic Fire starter for Tepig evolution tree.
PKMN-10074,Pignite,Paldean Fates,021/198,Pokemon,Stage 1,Tepig,130,Fire,,,Water x2,None,3,Flamethrower,2 F,80,,,3 F,100,,,,Stage 1 pivot & engine bridge for Pignite lineup.
PKMN-10075,Emboar,Paldean Fates,148/198,Pokemon,Stage 2,Pignite,180,Fire,,,Water x2,None,4,Flamethrower,2 F 1 C,160,,,3 F,,,,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Emboar.
PKMN-10076,Fletchling,Fusion Strike,024/198,Pokemon,Basic,,80,Fire,,,Lightning x2,Fighting -30,0,Flare Strike,1 F,20,,Burning Roar,2 F,40,,,,Standard basic Fire starter for Fletchling evolution tree.
PKMN-10077,Fletchinder,Fusion Strike,103/198,Pokemon,Stage 1,Fletchling,130,Fire,,,Lightning x2,Fighting -30,0,Flamethrower,2 F,80,Discard an Energy from this Pokemon to deal 30 more damage.,Fire Blast,,100,,,,Stage 1 pivot & engine bridge for Fletchinder lineup.
PKMN-10078,Talonflame,Fusion Strike,001/198,Pokemon,Stage 2,Fletchinder,180,Fire,,,Lightning x2,Fighting -30,1,Burning Roar,2 F 1 C,180,This attack does 30 damage to each of your opponent's Benched Pokemon.,,,,,,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Talonflame.
PKMN-10079,Fuecoco,Shrouded Fable,074/198,Pokemon,Basic,,80,Fire,,,Water x2,None,2,Combustion,1 F,30,,Flame Charge,,,,,,Standard basic Fire starter for Fuecoco evolution tree.
PKMN-10080,Crocalor,Shrouded Fable,004/198,Pokemon,Stage 1,Fuecoco,130,Fire,,,Water x2,None,2,Flare Strike,2 F,50,Discard an Energy from this Pokemon to deal 30 more damage.,,3 F,,,,,Stage 1 pivot & engine bridge for Crocalor lineup.
PKMN-10081,Skeledirge,Shrouded Fable,040/198,Pokemon,Stage 2,Crocalor,170,Fire,,,Water x2,None,3,Inferno Overdrive,2 F 1 C,160,,,,,,Supercharged Breaker,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Skeledirge.
PKMN-10082,Skeledirge ex,Shrouded Fable,192/198,Pokemon,Stage 2,Crocalor,230,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,2,Fire Blast,2 F,200,,,,300,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Skeledirge ex.
PKMN-10083,Armarouge,Scarlet & Violet Base,151/198,Pokemon,Basic,,90,Fire,,,Water x2,None,2,Inferno Overdrive,1 F,30,,Inferno Overdrive,2 F,50,,,,Standard basic Fire starter for Armarouge evolution tree.
PKMN-10084,Charcadet,Scarlet & Violet Base,083/198,Pokemon,Stage 1,Armarouge,100,Fire,,,Water x2,None,2,Heat Wave,2 F,80,Discard an Energy from this Pokemon to deal 30 more damage.,,3 F,,,,,Stage 1 pivot & engine bridge for Charcadet lineup.
PKMN-10085,Armarouge ex,Scarlet & Violet Base,099/198,Pokemon,Stage 1,Armarouge,330,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,2,Flame Charge,2 F,220,,,3 F,,,,,Meta tier-1 rule-box flagship Armarouge ex.
PKMN-10086,Chi-Yu,Pokemon 151,135/198,Pokemon,Basic,,80,Fire,,,Water x2,None,1,Burning Roar,1 F,10,,Fire Blast,,40,,,,Standard basic Fire starter for Chi-Yu evolution tree.
PKMN-10087,Chi-Yu ex,Pokemon 151,102/198,Pokemon,Basic,,330,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,1,Fire Blast,2 F,200,,,,260,,,,Meta tier-1 rule-box flagship Chi-Yu ex.
PKMN-10088,Hearthflame Mask Ogerpon,Battle Styles,159/198,Pokemon,Basic,,50,Fire,,,Water x2,None,1,Combustion,1 F,10,,,,,,,"Once during your turn, you may draw 1 card.",Standard basic Fire starter for Hearthflame Mask Ogerpon evolution tree.
PKMN-10089,Ogerpon ex,Battle Styles,026/198,Pokemon,Basic,,310,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,1,Flame Charge,2 F,280,,Flamethrower,3 F,,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Ogerpon ex.
PKMN-10090,Gouging Fire,Sword & Shield Base,063/198,Pokemon,Basic,,90,Fire,,,Water x2,None,2,Flare Strike,1 F,20,,,2 F,40,,,"Once during your turn, you may draw 1 card.",Standard basic Fire starter for Gouging Fire evolution tree.
PKMN-10091,Gouging Fire ex,Sword & Shield Base,037/198,Pokemon,Basic,,230,Fire,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Water x2,None,2,Burning Roar,2 F,280,,Inferno Overdrive,,,,,,Meta tier-1 rule-box flagship Gouging Fire ex.
PKMN-10092,Volcarona,Stellar Crown,019/198,Pokemon,Basic,,80,Fire,,,Water x2,None,2,Combustion,1 F,20,,Flame Charge,,,,,,Standard basic Fire starter for Volcarona evolution tree.
PKMN-10093,Larvesta,Stellar Crown,099/198,Pokemon,Stage 1,Volcarona,120,Fire,,,Water x2,None,2,Fire Blast,2 F,60,,Inferno Overdrive,,100,,,,Stage 1 pivot & engine bridge for Larvesta lineup.
PKMN-10094,Volcarona V,Stellar Crown,003/198,Pokemon,Stage 1,Volcarona,320,Fire,,VSTAR Rule: Opponent takes 2 Prizes.,Water x2,None,2,Flamethrower,2 F,240,,,,,,,,Meta tier-1 rule-box flagship Volcarona V.
PKMN-10095,Reshiram,Twilight Masquerade,057/198,Pokemon,Basic,,60,Fire,,,Water x2,None,2,Lava Plume,1 F,30,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,,,Reshiram's Intuition,"Once during your turn, you may draw 1 card.",Standard basic Fire starter for Reshiram evolution tree.
PKMN-10096,Reshiram V,Twilight Masquerade,161/198,Pokemon,Basic,,330,Fire,,VSTAR Rule: Opponent takes 2 Prizes.,Water x2,None,2,Flamethrower,2 F,200,,,3 F,220,Discard all Energy attached to this Pokemon.,,,Meta tier-1 rule-box flagship Reshiram V.
PKMN-10097,Squirtle,Stellar Crown,045/198,Pokemon,Basic,,60,Water,,,Lightning x2,None,2,Ice Beam,1 W,10,,,2 W,40,,,,Standard basic Water starter for Squirtle evolution tree.
PKMN-10098,Wartortle,Stellar Crown,124/198,Pokemon,Stage 1,Squirtle,110,Water,,,Lightning x2,None,2,Ice Beam,2 W,50,,Bubble Beam,,,,,,Stage 1 pivot & engine bridge for Wartortle lineup.
PKMN-10099,Blastoise,Stellar Crown,143/198,Pokemon,Stage 2,Wartortle,160,Water,,,Lightning x2,None,3,Aqua Tail,2 W 1 C,180,This attack does 30 damage to each of your opponent's Benched Pokemon.,,,,,,,Stage 2 heavy attacker / archetype anchor Blastoise.
PKMN-10100,Blastoise ex,Stellar Crown,096/198,Pokemon,Stage 2,Wartortle,220,Water,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Lightning x2,None,2,Bubble Beam,2 W,220,,Wave Splash,3 W,,,,,Meta tier-1 rule-box flagship Blastoise ex.
PKMN-10101,Psyduck,Astral Radiance,167/198,Pokemon,Basic,,80,Water,,,Lightning x2,None,1,Blizzard,1 W,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,2 W,30,,Psyduck's Intuition,,Standard basic Water starter for Psyduck evolution tree.
PKMN-10102,Golduck,Astral Radiance,100/198,Pokemon,Stage 1,Psyduck,120,Water,,,Lightning x2,None,1,Ice Beam,2 W,80,,,,,,,,Stage 1 pivot & engine bridge for Golduck lineup.
PKMN-10103,Poliwag,Brilliant Stars,009/198,Pokemon,Basic,,70,Water,,,Lightning x2,None,2,Tidal Wave,1 W,10,,,,50,,,,Standard basic Water starter for Poliwag evolution tree.
